3,Vice President - TigerOps,Seeking an internship position to expand my knowledge of Network Engineering. A dedicated and detail-oriented undergraduate student in Computer Science.,Authorized to work in the US for any employer,NA,['Vice President'],['TigerOps'],['2018 to Present'],"['Taught students the introduction to Wireshark and Network AnalysisVice President - Cyber Internet Security Student Association (CISSA), 2017 Used software development fundamentals to create port scanning, keylogging and password cracking prog",['Texas Southern University - College of Science'],['Bachelor of Science in Computer Science']
3,Successful Executive,As President and CEO have grown companies in hi-tech software.,Authorized to work in the US for any employer,NA,['Vice President'],['CAREER AT A GLANCE'],['1993 to 1995'],"['1993         1995       1997         1999        2001      2003       2005        2007        2009       2011          2013          2015       2017Red Brick Systems      Cloudscape       Centerboard      Inflection Advisory   CloudTran           Bidding Ace       Noosh              LeadLeaperPartnersVice President of      President |      President |                            President | CEO |   President |       CEO                President,Worldwide Sales        CEO              CEO              Co-Founder |          Board Member |      CEO |                                Enterprise and Operations                                           Managing Director     Founder             Board Member                         ServicesEntrepreneurial, high-energy C-Suite executive who drives revenues, Driving Competitive Advantagemarket position, and innovation. Applies deep experience in strategicplanning, business development, sales, and marketing in diverse technologySales/ Visionarystart-ups, turnarounds, and carve-outs. Sought out by company founders, Mktg StrategiesPE and Boards for ability to articulate vision, establish direction, and buildStart-up/consensus. Directs high-profile engagements by aligning sales, marketing, Turnarounds/ and operations teams. Builds trust and confidence with strong product        Spin-offsknowledge. Excellent communicator and innovative problem solver who        BusinessDevelopmenthas strong training and team leadership capabilities.Speaking Personally           IPO/ VC InvestmentStructuringMarket Analysis/Share GrowthMulti-QA.Data Warehouse/Product LaunchHow would you describe your leadership style?Big Data/ Open      DimensionalSource                              Content/ DigitalI am a collaborative leader, yet will step up and take charge when                                       LeadershipMarketplaces/                              Marketing the situation warrants. My motto is, ""attack the problem not the person.""                      Cloud Computing/Machine LearningI like to start with a blank canvas, free of any prior history or dogma, to                          SaaScreate fresh ideas, new inspiring visions and a touch of enthusiasm to buildsuccessful technologies that go to market quickly and successfully.        CustomerEngagementQHow do you turn a challenge into an opportunity?A.         As noted in my Meyers-Briggs Profile, it\'s a part of me to not onlysee the bright side of things, but also to always be thinking about theProfitImprovementCustomer Journeypossibilities. I love challenges that can be overcome with the collaboration of a highly motivated team. This has paid off repeatedly in my life and in my career.QHow hasbusiness today? experience shaped the way youA.conductyour internationalAs I built operations from scratch in Europe and Japan, I learned toDYNAMIC RESULTSrespect different cultures and how they do business. I show respect and as                       Guided acquisition of clients such as IngramMicro, Cisco, Bank of America along with an example we had the whole company attend a workshop on how to dostrategic sales distribution partners such as business in Japan. People really enjoyed it and we all learned how to be                         Sun Microsystems and Informix.more effective in the international business arena.Improved go-to-market approaches forQA.What do you consider your greatest professionalaccomplishment?Building great companies with great people. As opposed to oneseveral struggling tech companies, resulting in high value return to shareholders with IPO and acquisitions.accomplishment, there have been several that have given me the                                   Orchestrated launch and exponentialconfidence and wisdom to build great companies around strategy, growth of global sales team from five to people and processes. Over the years, some of those accomplishments                              175+ while increasing annual sales from $0are highlighted by successful IPO and acquisitions for valuable returns to                       to $40M.shareholders.        Led fundraising efforts at several companiesincluding Red Brick Systems, CloudScape,Multi-industry Experience                                                 CenterBoard, CloudTran and Bidding Aceraising funds from angel investors andHealthcare                 Manufacturing                  venture capitalists, securing investmentsTelcoranging from $300K to $12M.Formed profitable entities in Japan andCPG                     Financial Services                   Retail                    Europe, including a joint venture in Germany.Pleasanton, CA 94588  925-470-7277  twhenn@comcast.net']","['Northern Illinois University - DeKalb, IL']",['BS in Business']
3,NA,NA,NA,NA,['Vice President'],['Bank Of America and regions bank'],['1973 to 1998'],['Retired banker. Managed Branches. Managed credit dept. Loan officer 20 years ascending to Vice President'],['Clearwater fl'],['High school']
3,NA,NA,Authorized to work in the US for any employer,NA,"['Vice President', 'Owner/President']","['Ercoa Ind Inc - Braham, MN', 'Compton Design - Isanti, MN']","['May 1979 to July 2014', 'October 1990 to September 2003']","['NA', 'NA']",[],[]
3,NA,NA,Authorized to work in the US for any employer,NA,['Vice President'],"['Debra Pizza - Newark, OH']",['June 1996 to Present'],['NA'],"['Central Ohio Technical College - Newark, OH']",['Some college in Nursing']
3,"Vice President - UND Table Tennis Club, Grand Fork, ND",NA,NA,NA,['Vice President'],"['UND Table Tennis Club, Grand Fork, ND']",['March 2016 to Present'],['Charter and founding member Ultimate Frisbee Club member Volunteer at Feed My Starving Children (30+ Hours)'],"['University of North Dakota - Grand Forks, ND']",['Bachelor of Science in Mechanical Engineering']
3,Vice President - Valley National Bank,"Experienced professional with diversified experience in financial administration, operations, strategic plan development and implementation, and development of policies and procedures.  Exceptionally strong customer service skills.  Effective communicator and problem-solver. Extensive background in training and supervising employees.",NA,"ACCOUNT ANALYSIS (4 years), DATABASE (Less than 1 year), POLICY DEVELOPMENT (Less than 1 year), PROJECT MANAGEMENT (Less than 1 year), REPORT WRITING (Less than 1 year)","['Vice President', 'Assistant Vice President', 'Vice President Training', 'NA']","['Valley National Bank - North Palm Beach, FL', 'Riverside National Bank - North Palm Beach, FL', 'Palm Beach National Bank & Trust Company', 'Palm Beach National Bank & Trust Company - Palm Beach Gardens, FL']","['December 2008 to Present', 'November 2002 to October 2008', 'March 1998 to November 2002', 'February 1989 to November 2002']","[' Manage and supervise branch, including day to day operations Business development and community involvement Service large customer relationships Assist with several bank purchases and acquisition', ' Managed and supervised branch to achieve goals including day to day operations Extensive business development and community involvement Responsible for staffing and opening new branch', ' Maintain and update Account Analysis and Profitability system Supervise and coordinate Branch Support Department Act as liaison between branch network and Operations Department Handle complex customer service problems Schedule and coordinate employee training Create and maintain employee orientation handbook Conduct New Employee Orientation Conduct teller and customer service trainingComputer Skills Microsoft Office Platform Applications PC Banking Teller Applications Internet Banking Optical Storage Systems', 'NA']",[],[]
3,NA,NA,Sponsorship required to work in the US,Construction Machinery Mechanic (10+ years),['Vice President'],['NA'],['NA'],['NA'],['NA'],['Master']
3,PROJECT & PROGRAM RISK MANAGER,"Results-driven professional with extensive experience leading initiatives that involve Regulatory Mandates, Operating Model, Business Transformation, Process Modeling, Risk and Controls, and Policies and Standards. Effectively translates complex processes and concepts into actionable steps when designing strategic and tactical solutions. An analytical self-starter and lean problem solver, with excellent content judgment and narrative definition; combined with strong organizational and communication skills.",Authorized to work in the US for any employer,"Change Management, Project Management, Risk Management, Testing, Strategic Planning, Data Management","['Vice President', 'Senior Project Manager Consultant', 'Vice President', 'Vice President']","['BARCLAYS - New York, NY', 'BARCLAYS - New York, NY', 'BLACKROCK - New York, NY', 'JP MORGAN CHASE - New York, NY']","['2014 to 2017', '2012 to 2014', '2006 to 2011', '2005 to 2006']","[""BUSINESS STRATEGY & SOLUTIONSFront-run initiatives in the regulatory and business space for Operations Risk Management. Managed mandate requirements including stakeholders, schedules, deliverables, and communication engagements. Served as strategic lead in applying a lean approach towards aligning business objectives to Enterprise Risk Framework.  Drove project cost savings of $110k by identifying alternative resource solutions.  Reduced operations risk of non-compliance by designing and implementing an Issues Management Framework, Internal Controls Dashboard, and the establishment of Controls Testing business unit in Americas.  Integrated project management framework, playbook creation, branding, and conducted training that placed Operations in a better position, improving transparency and setting a standard.  Implemented an Issues Management Framework and Issues Tracking process that provided a robust method identifying and documenting regulatory issues including a governance process.  Developed internal controls dashboard and performed mapping analysis between regulatory rules and internal controls that delivered an identifiable suite of controls by various programs.  Designed changes to existing operating models and processes that ensured regulatory change requirements are incorporated while end-to-end processes are optimized.  Defined strategies to achieve organization's objectives and conveyed the overall big picture by making connections between ideas, plans and people into effective storyboard presentations (i.e. Proposals)."", 'PROJECT MANAGEMENTExecution of credit risk process and infrastructure projects for Credit Risk Sanctioning group in response to Regulatory conformance guidelines of Dodd-Frank, FSA and SEC.  Managed and performed assessments on multiple initiatives and consistently achieved mandated deadlines, allowing for internal reviews and sign-offs including passing project audits.  Defined business requirements, derived key deliverables / milestones and target dates that produced measurable progress, metrics and scorecard to stakeholders and executives.  Enhanced strategic risk architecture, reporting, and workflow by participating in working groups involved with planning future commitments.', 'BUSINESS PROCESS MANAGEMENTLed business process optimization reviews and re-engineering efforts to maximize delivery performance and efficiency while minimizing costs by taking a lean approach focused on core processes.  Implemented new tracking solution supporting operations and portfolio reporting that increased client service levels by 95%.  Spearheaded business metric design and implementation for reporting and data analytics, showcasing trends, performance, and risks which improved business performance by 90%.  Developed change management review process for changes and development requests to client portfolios, reducing error rate by 80% in production failures.  Served as point person for audit discussions evidencing controls and ensuring operations met guidelines within SAS70 regulation.', 'BUSINESS TRANSFORMATIONSpearheaded the integration of disparate data from multiple sources into an Operating Data Store for Credit Operations. Oversaw transition of ensuring legacy data repositories have corresponding reconciliations performed to authoritative sources. Managed 2 associates.  Integrated reconciliation framework for various lines of businesses strategically consumed in the credit environment and aligned strategy with general ledger using Hyperion accounts in finance.  Increased volume throughputs by 80% by having the legacy process decommissioned in a phased approach.  Managed operations infrastructure which included monitoring credit data delivery, communication of metrics encompassing timeliness, completeness, and quality of data sourced into the credit environment.']","['Pace University - New York, NY']",['Bachelor of Business Administration in Accounting']
3,VICE PRESIDENT - CHASE BANK,"Experience sales manager who excels in fast paced environments seeks opportunity to apply skills.  Background includes solid communication skills both verbally and written.  An astute, results-oriented individual with over twenty years of creating an environment that delivers an exceptional experience for both customers and employees.  A critical thinker and adept negotiator who can apply extensive experience serving the public in many different situations.",Authorized to work in the US for any employer,NA,"['VICE PRESIDENT', 'VICE PRESIDENT', 'Branch Manager', 'ASSISTANT VICE PRESIDENT']","['CHASE BANK - Batavia, IL', 'HARRIS BANK, N.A', 'South Elgin, IL', 'FIRST AMERICAN BANK - Bloomingdale, IL']","['October 2011 to Present', 'October 2003 to October 2011', '2003 to 2005', 'February 1997 to October 2003']","['60510 Branch was ranked #2 in the market for Customer Experience in 2016 & 2017 Actively identify, coach, develop, motivate and support employees so that they can provide superior service to every customer Set clear objectives for the branch and for each employee, and monitor progress and track results Improve revenues and expenses and grow the business, while exceeding customer expectations Ensure that the branch team complies with policies, procedures and regulatory banking requirements Establish and maintain effective relationships with customers, business partners, staff and members of the community Manage all aspects of interviewing, hiring and training of new team members.  Provide performance development plans, salary increases and  promotions', 'NA', '2006 & 2009 Maintained strong relationships with diverse internal partners including financial services advisors, private bankers and service representatives Managed and mitigated risk exposure for the branch Grew the branch business by 12% year over year and addressed gaps in the branch performance Coached others in consultative sales processes and other branch activities Empowered the branch team, ensuring each employee reaches their sales targets Managed dual locations at various times throughout the time worked at Harris', ""60108 Responsibilities included expanding existing business relationships and development of new business Managed the operations of the local branch office and ensured all bank policies and procedures were followed. Developed branch sales initiatives by coaching sales team to achieve assigned sales goals through delivering a great customer experience. Worked on improving the bank's profitability  by making sound authorizations approvals and decisions Exercised authority on issues concerning staffing, performance, promotions and salary actions and terminations""]","['Westfield State College - Westfield, MA']",['BACHELOR OF THE ARTS']
